iter	Passed	Remaining
662	40801	20739
663	40862	20677
664	40925	20616
665	40988	20555
666	41054	20496
667	41119	20436
668	41180	20374
669	41240	20312
670	41302	20251
671	41358	20187
672	41420	20125
673	41482	20064
674	41542	20001
675	41598	19937
676	41657	19874
677	41714	19811
678	41771	19747
679	41831	19685
680	41893	19623
681	41957	19563
682	42017	19501
683	42078	19439
684	42139	19378
685	42201	19316
686	42263	19255
687	42324	19193
688	42390	19134
689	42450	19072
690	42517	19012
691	42578	18951
692	42637	18888
693	42699	18827
694	42760	18765
695	42818	18702
696	42879	18640
697	42942	18579
698	43003	18517
699	43063	18455
700	43119	18391
701	43179	18329
702	43239	18267
703	43299	18205
704	43358	18142
705	43417	18080
706	43478	18018
707	43534	17954
708	43591	17891
709	43653	17830
710	43712	17768
711	43778	17708
712	43841	17647
713	43899	17584
714	43959	17522
715	44017	17459
716	44078	17397
717	44135	17334
718	44196	17273
719	44257	17211
720	44316	17148
721	44374	17085
722	44432	17023
723	44491	16960
724	44547	16897
725	44608	16835
726	44672	16775
727	44735	16714
728	44795	16652
729	44853	16589
730	44911	16527
731	44969	16464
732	45028	16401
733	45086	16339
734	45145	16276
735	45202	16213
736	45266	16153
737	45329	16092
738	45391	16031
739	45448	15968
740	45506	15905
741	45565	15843
742	45628	15782
743	45691	15721
744	45749	15659
745	45806	15596
746	45864	15533
747	45920	15470
748	45979	15408
749	46045	15348
750	46106	15287
751	46165	15224
752	46224	15162
753	46281	15099
754	46340	15037
755	46399	14975
756	46456	14912
757	46515	14850
758	46573	14788
759	46630	14725
760	46691	14664
761	46793	14615
762	46865	14557
763	46923	14494
764	46981	14432
765	47039	14369
766	47096	14307
767	47153	14244
768	47212	14182
769	47270	14119
770	47327	14056
771	47385	13994
772	47440	13931
773	47499	13869
774	47556	13806
775	47615	13744
776	47673	13682
777	47730	13619
778	47785	13556
779	47844	13494
780	47901	13432
781	47959	13369
782	48019	13308
783	48076	13245
784	48137	13184
785	48198	13122
786	48260	13061
787	48322	13000
788	48384	12939
789	48442	12877
790	48501	12815
791	48558	12752
792	48617	12690
793	48678	12629
794	48741	12568
795	48802	12507
796	48860	12445
797	48919	12383
798	48978	12321
799	49039	12259
800	49103	12199
801	49163	12137
802	49219	12075
803	49277	12012
804	49335	11950
805	49395	11889
806	49453	11827
807	49513	11765
808	49575	11704
809	49633	11642
810	49693	11580
811	49750	11518
812	49808	11456
813	49866	11394
814	49928	11333
815	49985	11271
816	50043	11209
817	50100	11147
818	50157	11084
819	50220	11024
820	50282	10962
821	50341	10901
822	50397	10838
823	50457	10777
824	50519	10716
825	50586	10656
826	50649	10595
827	50707	10533
828	50765	10471
829	50827	10410
830	50892	10349
831	50953	10288
832	51011	10226
833	51069	10164
834	51126	10102
835	51188	10041
836	51252	9981
837	51318	9920
838	51376	9858
839	51433	9796
840	51501	9736
841	51559	9675
842	51614	9612
843	51674	9551
844	51732	9489
845	51789	9427
846	51844	9365
847	51901	9303
848	51960	9241
849	52018	9179
850	52078	9118
851	52141	9057
852	52202	8996
853	52260	8934
854	52317	8872
855	52375	8810
856	52434	8749
857	52492	8687
858	52550	8625
859	52611	8564
860	52671	8503
861	52728	8441
862	52786	8379
863	52848	8318
864	52907	8257
865	52965	8195
866	53022	8133
867	53079	8072
868	53138	8010
869	53195	7948
870	53254	7887
871	53312	7825
872	53377	7765
873	53488	7711
874	53546	7649
875	53606	7588
876	53666	7526
877	53723	7464
878	53779	7403
879	53835	7341
880	53894	7279
881	53952	7218
882	54010	7156
883	54067	7094
884	54130	7033
885	54189	6972
886	54246	6910
887	54305	6849
888	54363	6787
889	54423	6726
890	54478	6664
891	54538	6603
892	54594	6541
893	54652	6480
894	54709	6418
895	54765	6356
896	54826	6295
897	54885	6234
898	54943	6172
899	55002	6111
900	55057	6049
901	55116	5988
902	55173	5926
903	55232	5865
904	55293	5804
905	55352	5742
906	55406	5681
907	55466	5619
908	55527	5558
909	55587	5497
910	55648	5436
911	55706	5375
912	55763	5313
913	55820	5252
914	55879	5190
915	55937	5129
916	55997	5068
917	56057	5007
918	56118	4946
919	56175	4884
920	56232	4823
921	56290	4762
922	56350	4700
923	56409	4639
924	56465	4578
925	56522	4516
926	56579	4455
927	56636	4394
928	56691	4332
929	56748	4271
930	56803	4209
931	56859	4148
932	56919	4087
933	56974	4026
934	57031	3964
935	57088	3903
936	57146	3842
937	57204	3781
938	57260	3719
939	57317	3658
940	57377	3597
941	57434	3536
942	57490	3475
943	57547	3413
944	57604	3352
945	57663	3291
946	57720	3230
947	57779	3169
948	57838	3108
949	57897	3047
950	57955	2986
951	58019	2925
952	58082	2864
953	58149	2803
954	58212	2742
955	58274	2682
956	58333	2621
957	58393	2560
958	58457	2499
959	58523	2438
960	58589	2377
961	58650	2316
962	58710	2255
963	58776	2194
964	58847	2134
965	58924	2073
966	58992	2013
967	59064	1952
968	59141	1892
969	59211	1831
970	59274	1770
971	59336	1709
972	59408	1648
973	59478	1587
974	59541	1526
975	59600	1465
976	59660	1404
977	59722	1343
978	59783	1282
979	59844	1221
980	59905	1160
981	59969	1099
982	60027	1038
983	60088	977
984	60151	916
985	60212	854
986	60274	793
987	60332	732
988	60392	671
989	60449	610
990	60508	549
991	60564	488
992	60620	427
993	60677	366
994	60733	305
995	60790	244
996	60849	183
997	60903	122
998	60960	61
999	61020	0
